port,requests_per_second,unique_payloads,port_commonality,is_scanning,is_exploit,is_bruteforce,time_of_day,day_of_week,attack_type,threat_level
1005,4.23,0,0.3,1,0,0,15,4,Port Scan,6.0
21,0.04,4,1.0,0,0,0,15,4,FTP Attack,4.0
989,61.26,0,0.3,1,0,0,15,4,Port Scan,6.0
775,4.33,0,0.3,1,0,0,15,4,Port Scan,6.0
54,12.87,0,0.3,1,0,0,15,4,Port Scan,6.0
22,0.62,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
22,0.32,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
9000,0.2,5,0.3,0,1,0,15,4,IoT Exploit,9.0
3389,0.03,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
666,27.7,0,0.3,1,0,0,15,4,Port Scan,6.0
139,0.71,5,0.3,0,1,0,15,4,SMB Exploit,10.0
3306,0.45,4,1.0,0,0,0,15,4,MySQL Attack,3.0
6379,0.08,4,1.0,0,0,0,15,4,Redis Attack,3.0
445,0.05,5,0.3,0,1,0,15,4,SMB Exploit,10.0
418,74.85,0,0.3,1,0,0,15,4,Port Scan,9.0
445,0.71,5,0.3,0,1,0,15,4,SMB Exploit,10.0
22,0.14,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
443,0.54,6,1.0,0,0,0,15,4,HTTP Web Scan,6.0
22,0.51,8,1.0,0,0,1,15,4,SSH Brute Force,10.0
3306,0.44,4,1.0,0,0,0,15,4,MySQL Attack,3.0
8443,0.66,6,0.3,0,0,0,15,4,HTTP Web Scan,6.0
785,32.09,0,0.3,1,0,0,15,4,Port Scan,6.0
139,0.33,5,0.3,0,1,0,15,4,SMB Exploit,10.0
22,0.34,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
22,0.12,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
8554,0.27,5,0.3,0,1,0,15,4,IoT Exploit,9.0
554,0.09,5,0.3,0,1,0,15,4,IoT Exploit,9.0
53,3294.33,2,0.3,0,0,0,15,4,DNS Amplification,3.0
21,0.24,4,1.0,0,0,0,15,4,FTP Attack,4.0
6379,0.28,4,1.0,0,0,0,15,4,Redis Attack,3.0
991,73.22,0,0.3,1,0,0,15,4,Port Scan,6.0
443,0.19,6,1.0,0,0,0,15,4,HTTP Web Scan,6.0
8080,0.41,5,0.3,0,1,0,15,4,IoT Exploit,9.0
23,0.02,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
443,0.08,6,1.0,0,0,0,15,4,HTTP Web Scan,6.0
310,4.92,0,0.3,1,0,0,15,4,Port Scan,6.0
21,0.03,4,1.0,0,0,0,15,4,FTP Attack,4.0
27017,0.02,3,0.3,0,0,0,15,4,MongoDB Attack,3.0
8080,0.31,6,0.3,0,0,0,15,4,HTTP Web Scan,9.0
3306,0.49,4,1.0,0,0,0,15,4,MySQL Attack,3.0
445,1.41,5,0.3,0,1,0,15,4,SMB Exploit,10.0
80,0.06,6,1.0,0,0,0,15,4,HTTP Web Scan,6.0
988,6.99,0,0.3,1,0,0,15,4,Port Scan,6.0
659,56.82,0,0.3,1,0,0,15,4,Port Scan,6.0
3389,0.02,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
22,0.27,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
21,0.02,4,1.0,0,0,0,15,4,FTP Attack,4.0
8080,0.07,6,0.3,0,0,0,15,4,HTTP Web Scan,6.0
22,0.09,8,1.0,0,0,1,15,4,SSH Brute Force,10.0
3389,0.01,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
567,20.66,0,0.3,1,0,0,15,4,Port Scan,6.0
22,0.03,8,1.0,0,0,1,15,4,SSH Brute Force,10.0
139,0.31,5,0.3,0,1,0,15,4,SMB Exploit,10.0
8554,0.13,5,0.3,0,1,0,15,4,IoT Exploit,9.0
3306,0.78,4,1.0,0,0,0,15,4,MySQL Attack,3.0
5432,0.39,3,1.0,0,0,0,15,4,PostgreSQL Attack,3.0
23,0.0,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
139,0.11,5,0.3,0,1,0,15,4,SMB Exploit,10.0
6379,0.58,4,1.0,0,0,0,15,4,Redis Attack,3.0
23,0.04,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
21,0.52,4,1.0,0,0,0,15,4,FTP Attack,4.0
8443,0.37,6,0.3,0,0,0,15,4,HTTP Web Scan,6.0
139,0.96,5,0.3,0,1,0,15,4,SMB Exploit,10.0
6379,0.38,4,1.0,0,0,0,15,4,Redis Attack,3.0
21,0.17,4,1.0,0,0,0,15,4,FTP Attack,7.0
5432,0.07,3,1.0,0,0,0,15,4,PostgreSQL Attack,3.0
3389,0.06,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
3306,0.5,4,1.0,0,0,0,15,4,MySQL Attack,6.0
22,0.26,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
8443,1.21,6,0.3,0,0,0,15,4,HTTP Web Scan,6.0
53,116.06,2,0.3,0,0,0,15,4,DNS Amplification,3.0
21,0.47,4,1.0,0,0,0,15,4,FTP Attack,4.0
445,0.17,5,0.3,0,1,0,15,4,SMB Exploit,10.0
3306,0.02,4,1.0,0,0,0,15,4,MySQL Attack,3.0
139,0.09,5,0.3,0,1,0,15,4,SMB Exploit,10.0
23,0.08,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
3306,0.03,4,1.0,0,0,0,15,4,MySQL Attack,3.0
23,0.05,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
23,0.01,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
21,1.42,4,1.0,0,0,0,15,4,FTP Attack,4.0
204,6.95,0,0.3,1,0,0,15,4,Port Scan,6.0
23,0.15,4,1.0,0,0,1,15,4,Telnet Brute Force,9.0
310,47.41,0,0.3,1,0,0,15,4,Port Scan,6.0
22,1.08,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
139,0.03,5,0.3,0,1,0,15,4,SMB Exploit,10.0
3306,0.06,4,1.0,0,0,0,15,4,MySQL Attack,3.0
3306,0.62,4,1.0,0,0,0,15,4,MySQL Attack,3.0
22,0.82,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
6379,6.25,4,1.0,0,0,0,15,4,Redis Attack,3.0
21,0.4,4,1.0,0,0,0,15,4,FTP Attack,4.0
22,0.08,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
22,1.68,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
3389,0.21,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
27017,0.04,3,0.3,0,0,0,15,4,MongoDB Attack,3.0
22,0.08,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
6,0.46,0,0.3,1,0,0,15,4,Port Scan,6.0
3389,0.01,3,1.0,0,0,1,15,4,RDP Brute Force,8.0
5432,0.22,3,1.0,0,0,0,15,4,PostgreSQL Attack,3.0
784,2.84,0,0.3,1,0,0,15,4,Port Scan,9.0
22,0.11,8,1.0,0,0,1,15,4,SSH Brute Force,10.0
5432,0.29,3,1.0,0,0,0,15,4,PostgreSQL Attack,3.0
22,0.83,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
3306,0.56,4,1.0,0,0,0,15,4,MySQL Attack,3.0
8443,0.45,6,0.3,0,0,0,15,4,HTTP Web Scan,6.0
22,0.65,8,1.0,0,0,1,15,4,SSH Brute Force,8.0
139,4.96,5,0.3,0,1,0,15,4,SMB Exploit,10.0
6379,0.46,4,1.0,0,0,0,15,4,Redis Attack,3.0
3389,0.01,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
6379,0.06,4,1.0,0,0,0,16,4,Redis Attack,3.0
23,0.12,4,1.0,0,0,1,16,4,Telnet Brute Force,10.0
3389,0.17,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
21,0.11,4,1.0,0,0,0,16,4,FTP Attack,4.0
3306,0.35,4,1.0,0,0,0,16,4,MySQL Attack,3.0
22,0.96,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
27017,0.27,3,0.3,0,0,0,16,4,MongoDB Attack,3.0
3306,3.79,4,1.0,0,0,0,16,4,MySQL Attack,6.0
22,0.18,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3306,0.27,4,1.0,0,0,0,16,4,MySQL Attack,3.0
8080,0.05,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
8080,0.42,5,0.3,0,1,0,16,4,IoT Exploit,9.0
6379,1.18,4,1.0,0,0,0,16,4,Redis Attack,3.0
6379,0.62,4,1.0,0,0,0,16,4,Redis Attack,3.0
22,0.57,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3306,4.3,4,1.0,0,0,0,16,4,MySQL Attack,3.0
6379,1.27,4,1.0,0,0,0,16,4,Redis Attack,3.0
326,1.66,0,0.3,1,0,0,16,4,Port Scan,6.0
3306,0.22,4,1.0,0,0,0,16,4,MySQL Attack,3.0
443,0.82,6,1.0,0,0,0,16,4,HTTP Web Scan,6.0
21,0.2,4,1.0,0,0,0,16,4,FTP Attack,4.0
6379,1.11,4,1.0,0,0,0,16,4,Redis Attack,3.0
22,0.14,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
390,3.88,0,0.3,1,0,0,16,4,Port Scan,9.0
8443,1.73,6,0.3,0,0,0,16,4,HTTP Web Scan,6.0
22,0.24,8,1.0,0,0,1,16,4,SSH Brute Force,8.0
3389,0.02,3,1.0,0,0,1,16,4,RDP Brute Force,8.0
877,22.21,0,0.3,1,0,0,16,4,Port Scan,6.0
